n1|n2|prop
dbpedia.FieldHockeyLeague|dbpedia.SportsLeague|is-a
dbpedia.InlineHockeyLeague|dbpedia.SportsLeague|is-a
dbpedia.BaseballLeague|dbpedia.SportsLeague|is-a
dbpedia.PaintballLeague|dbpedia.SportsLeague|is-a
dbpedia.LacrosseLeague|dbpedia.SportsLeague|is-a
dbpedia.FormulaOneRacing|dbpedia.SportsLeague|is-a
dbpedia.AmericanFootballLeague|dbpedia.SportsLeague|is-a
dbpedia.AustralianFootballLeague|dbpedia.SportsLeague|is-a
dbpedia.BoxingLeague|dbpedia.SportsLeague|is-a
dbpedia.RadioControlledRacingLeague|dbpedia.SportsLeague|is-a
dbpedia.TennisLeague|dbpedia.SportsLeague|is-a
dbpedia.RugbyLeague|dbpedia.SportsLeague|is-a
dbpedia.PoloLeague|dbpedia.SportsLeague|is-a
dbpedia.AutoRacingLeague|dbpedia.SportsLeague|is-a
dbpedia.MixedMartialArtsLeague|dbpedia.SportsLeague|is-a
dbpedia.SoftballLeague|dbpedia.SportsLeague|is-a
dbpedia.CricketLeague|dbpedia.SportsLeague|is-a
dbpedia.Earthquake|dbpedia.NaturalEvent|is-a
dbpedia.StormSurge|dbpedia.NaturalEvent|is-a
dbpedia.SolarEclipse|dbpedia.NaturalEvent|is-a
dbpedia.HistoricalProvince|dbpedia.Province|is-a
dbpedia.Regency|dbpedia.GovernmentalAdministrativeRegion|is-a
dbpedia.SubMunicipality|dbpedia.GovernmentalAdministrativeRegion|is-a
dbpedia.Prefecture|dbpedia.GovernmentalAdministrativeRegion|is-a
dbpedia.Arrondissement|dbpedia.GovernmentalAdministrativeRegion|is-a
dbpedia.DistrictWaterBoard|dbpedia.GovernmentalAdministrativeRegion|is-a
dbpedia.MicroRegion|dbpedia.GovernmentalAdministrativeRegion|is-a
dbpedia.LunarCrater|dbpedia.Crater|is-a
dbpedia.MotorsportSeason|dbpedia.SportsSeason|is-a
dbpedia.MilitaryPerson|dbpedia.Person|is-a
dbpedia.Archeologist|dbpedia.Person|is-a
dbpedia.TheatreDirector|dbpedia.Person|is-a
dbpedia.Religious|dbpedia.Person|is-a
dbpedia.RomanEmperor|dbpedia.Person|is-a
dbpedia.Engineer|dbpedia.Person|is-a
dbpedia.Farmer|dbpedia.Person|is-a
dbpedia.BusinessPerson|dbpedia.Person|is-a
dbpedia.Producer|dbpedia.Person|is-a
dbpedia.Psychologist|dbpedia.Person|is-a
dbpedia.Chef|dbpedia.Person|is-a
dbpedia.Philosopher|dbpedia.Person|is-a
dbpedia.Monarch|dbpedia.Person|is-a
dbpedia.PlayboyPlaymate|dbpedia.Person|is-a
dbpedia.BeautyQueen|dbpedia.Person|is-a
dbpedia.Referee|dbpedia.Person|is-a
dbpedia.Ambassador|dbpedia.Person|is-a
dbpedia.Lawyer|dbpedia.Person|is-a
dbpedia.MovieDirector|dbpedia.Person|is-a
dbpedia.Model|dbpedia.Person|is-a
dbpedia.Aristocrat|dbpedia.Person|is-a
dbpedia.Egyptologist|dbpedia.Person|is-a
dbpedia.Architect|dbpedia.Person|is-a
dbpedia.Judge|dbpedia.Person|is-a
dbpedia.Economist|dbpedia.Person|is-a
dbpedia.Journalist|dbpedia.Person|is-a
dbpedia.HorseTrainer|dbpedia.Person|is-a
dbpedia.Orphan|dbpedia.Person|is-a
dbpedia.PoliticianSpouse|dbpedia.Person|is-a
dbpedia.Linguist|dbpedia.Person|is-a
dbpedia.TelevisionDirector|dbpedia.Person|is-a
dbpedia.MemberResistanceMovement|dbpedia.Person|is-a
dbpedia.Celebrity|dbpedia.Person|is-a
dbpedia.Noble|dbpedia.Person|is-a
dbpedia.Astronaut|dbpedia.Person|is-a
dbpedia.OfficeHolder|dbpedia.Person|is-a
dbpedia.ProtohistoricalPeriod|dbpedia.TimePeriod|is-a
dbpedia.YearInSpaceflight|dbpedia.TimePeriod|is-a
dbpedia.Year|dbpedia.TimePeriod|is-a
dbpedia.PrehistoricalPeriod|dbpedia.TimePeriod|is-a
dbpedia.HistoricalPeriod|dbpedia.TimePeriod|is-a
dbpedia.GeologicalPeriod|dbpedia.TimePeriod|is-a
dbpedia.CareerStation|dbpedia.TimePeriod|is-a
dbpedia.PeriodOfArtisticStyle|dbpedia.TimePeriod|is-a
dbpedia.AutomobileEngine|dbpedia.Engine|is-a
dbpedia.RocketEngine|dbpedia.Engine|is-a
dbpedia.Enzyme|dbpedia.Biomolecule|is-a
dbpedia.Protein|dbpedia.Biomolecule|is-a
dbpedia.Lipid|dbpedia.Biomolecule|is-a
dbpedia.Polysaccharide|dbpedia.Biomolecule|is-a
dbpedia.SongWriter|dbpedia.Writer|is-a
dbpedia.ScreenWriter|dbpedia.Writer|is-a
dbpedia.MusicComposer|dbpedia.Writer|is-a
dbpedia.PlayWright|dbpedia.Writer|is-a
dbpedia.Historian|dbpedia.Writer|is-a
dbpedia.Poet|dbpedia.Writer|is-a
dbpedia.Square|dbpedia.ArchitecturalStructure|is-a
dbpedia.Tunnel|dbpedia.ArchitecturalStructure|is-a
dbpedia.Gate|dbpedia.ArchitecturalStructure|is-a
dbpedia.Shrine|dbpedia.ArchitecturalStructure|is-a
dbpedia.Pyramid|dbpedia.ArchitecturalStructure|is-a
dbpedia.Arena|dbpedia.ArchitecturalStructure|is-a
dbpedia.Zoo|dbpedia.ArchitecturalStructure|is-a
dbpedia.MilitaryStructure|dbpedia.ArchitecturalStructure|is-a
dbpedia.University|dbpedia.EducationalInstitution|is-a
dbpedia.School|dbpedia.EducationalInstitution|is-a
dbpedia.College|dbpedia.EducationalInstitution|is-a
dbpedia.Library|dbpedia.EducationalInstitution|is-a
dbpedia.Brain|dbpedia.AnatomicalStructure|is-a
dbpedia.Muscle|dbpedia.AnatomicalStructure|is-a
dbpedia.Vein|dbpedia.AnatomicalStructure|is-a
dbpedia.Nerve|dbpedia.AnatomicalStructure|is-a
dbpedia.Ligament|dbpedia.AnatomicalStructure|is-a
dbpedia.Artery|dbpedia.AnatomicalStructure|is-a
dbpedia.Bone|dbpedia.AnatomicalStructure|is-a
dbpedia.Lymph|dbpedia.AnatomicalStructure|is-a
dbpedia.Embryology|dbpedia.AnatomicalStructure|is-a
dbpedia.TelevisionShow|dbpedia.Work|is-a
dbpedia.LineOfFashion|dbpedia.Work|is-a
dbpedia.TelevisionEpisode|dbpedia.Work|is-a
dbpedia.TelevisionSeason|dbpedia.Work|is-a
dbpedia.Film|dbpedia.Work|is-a
dbpedia.RadioProgram|dbpedia.Work|is-a
dbpedia.Website|dbpedia.Work|is-a
dbpedia.LaunchPad|dbpedia.Infrastructure|is-a
dbpedia.Airport|dbpedia.Infrastructure|is-a
dbpedia.Port|dbpedia.Infrastructure|is-a
dbpedia.Lock|dbpedia.Infrastructure|is-a
dbpedia.RestArea|dbpedia.Infrastructure|is-a
dbpedia.Dam|dbpedia.Infrastructure|is-a
dbpedia.OldTerritory|dbpedia.Territory|is-a
dbpedia.GatedCommunity|dbpedia.PopulatedPlace|is-a
dbpedia.Agglomeration|dbpedia.PopulatedPlace|is-a
dbpedia.Community|dbpedia.PopulatedPlace|is-a
dbpedia.Street|dbpedia.PopulatedPlace|is-a
dbpedia.Intercommunality|dbpedia.PopulatedPlace|is-a
dbpedia.Locality|dbpedia.PopulatedPlace|is-a
dbpedia.Continent|dbpedia.PopulatedPlace|is-a
dbpedia.State|dbpedia.PopulatedPlace|is-a
dbpedia.MusicFestival|dbpedia.SocietalEvent|is-a
dbpedia.MilitaryConflict|dbpedia.SocietalEvent|is-a
dbpedia.FilmFestival|dbpedia.SocietalEvent|is-a
dbpedia.Rebellion|dbpedia.SocietalEvent|is-a
dbpedia.Attack|dbpedia.SocietalEvent|is-a
dbpedia.Meeting|dbpedia.SocietalEvent|is-a
dbpedia.SpaceMission|dbpedia.SocietalEvent|is-a
dbpedia.Convention|dbpedia.SocietalEvent|is-a
dbpedia.Election|dbpedia.SocietalEvent|is-a
dbpedia.Tax|dbpedia.TopicalConcept|is-a
dbpedia.CardinalDirection|dbpedia.TopicalConcept|is-a
dbpedia.ScientificConcept|dbpedia.TopicalConcept|is-a
dbpedia.PoliticalConcept|dbpedia.TopicalConcept|is-a
dbpedia.Taxon|dbpedia.TopicalConcept|is-a
dbpedia.Fashion|dbpedia.TopicalConcept|is-a
dbpedia.SystemOfLaw|dbpedia.TopicalConcept|is-a
dbpedia.Ideology|dbpedia.TopicalConcept|is-a
dbpedia.Standard|dbpedia.TopicalConcept|is-a
dbpedia.PhilosophicalConcept|dbpedia.TopicalConcept|is-a
dbpedia.MathematicalConcept|dbpedia.TopicalConcept|is-a
dbpedia.AcademicSubject|dbpedia.TopicalConcept|is-a
dbpedia.Racecourse|dbpedia.RaceTrack|is-a
dbpedia.Dancer|dbpedia.Artist|is-a
dbpedia.Painter|dbpedia.Artist|is-a
dbpedia.Comedian|dbpedia.Artist|is-a
dbpedia.ComicsCreator|dbpedia.Artist|is-a
dbpedia.FashionDesigner|dbpedia.Artist|is-a
dbpedia.Sculptor|dbpedia.Artist|is-a
dbpedia.Humorist|dbpedia.Artist|is-a
dbpedia.Photographer|dbpedia.Artist|is-a
dbpedia.IceHockeyPlayer|dbpedia.WinterSportPlayer|is-a
