n1|n2|prop
ogms.SCTO_363699004|ogms.SCTO_405815000|is-a
ogms.SCTO_363710007|ogms.SCTO_405815000|is-a
ogms.SCTO_363700003|ogms.SCTO_405816004|is-a
ogms.SCTO_363709002|ogms.SCTO_405816004|is-a
ogms.SCTO_116676008|ogms.SCTO_410662002|is-a
ogms.SCTO_116686009|ogms.SCTO_410662002|is-a
ogms.SCTO_118168003|ogms.SCTO_410662002|is-a
ogms.SCTO_118169006|ogms.SCTO_410662002|is-a
ogms.SCTO_118170007|ogms.SCTO_410662002|is-a
ogms.SCTO_118171006|ogms.SCTO_410662002|is-a
ogms.SCTO_123005000|ogms.SCTO_410662002|is-a
ogms.SCTO_127489000|ogms.SCTO_410662002|is-a
ogms.SCTO_246093002|ogms.SCTO_410662002|is-a
ogms.SCTO_246112005|ogms.SCTO_410662002|is-a
ogms.SCTO_246454002|ogms.SCTO_410662002|is-a
ogms.SCTO_246456000|ogms.SCTO_410662002|is-a
ogms.SCTO_246513007|ogms.SCTO_410662002|is-a
ogms.SCTO_246514001|ogms.SCTO_410662002|is-a
ogms.SCTO_260507000|ogms.SCTO_410662002|is-a
ogms.SCTO_260686004|ogms.SCTO_410662002|is-a
ogms.SCTO_260870009|ogms.SCTO_410662002|is-a
ogms.SCTO_263502005|ogms.SCTO_410662002|is-a
ogms.SCTO_272741003|ogms.SCTO_410662002|is-a
ogms.SCTO_363698007|ogms.SCTO_410662002|is-a
ogms.SCTO_363701004|ogms.SCTO_410662002|is-a
ogms.SCTO_363702006|ogms.SCTO_410662002|is-a
ogms.SCTO_363703001|ogms.SCTO_410662002|is-a
ogms.SCTO_363705008|ogms.SCTO_410662002|is-a
ogms.SCTO_363713009|ogms.SCTO_410662002|is-a
ogms.SCTO_363714003|ogms.SCTO_410662002|is-a
ogms.SCTO_370129005|ogms.SCTO_410662002|is-a
ogms.SCTO_370130000|ogms.SCTO_410662002|is-a
ogms.SCTO_370131001|ogms.SCTO_410662002|is-a
ogms.SCTO_370132008|ogms.SCTO_410662002|is-a
ogms.SCTO_370133003|ogms.SCTO_410662002|is-a
ogms.SCTO_370134009|ogms.SCTO_410662002|is-a
ogms.SCTO_370135005|ogms.SCTO_410662002|is-a
ogms.SCTO_410675002|ogms.SCTO_410662002|is-a
ogms.SCTO_411116001|ogms.SCTO_410662002|is-a
ogms.SCTO_418775008|ogms.SCTO_410662002|is-a
ogms.SCTO_419066007|ogms.SCTO_410662002|is-a
ogms.SCTO_424244007|ogms.SCTO_410662002|is-a
ogms.SCTO_424361007|ogms.SCTO_410662002|is-a
ogms.SCTO_424876005|ogms.SCTO_410662002|is-a
ogms.SCTO_425391005|ogms.SCTO_424226004|is-a
ogms.SCTO_280115004|ogms.SCTO_442083009|is-a
ogms.SCTO_91723000|ogms.SCTO_442083009|is-a
ogms.SCTO_246075003|ogms.SCTO_47429007|is-a
ogms.SCTO_255234002|ogms.SCTO_47429007|is-a
ogms.SCTO_42752001|ogms.SCTO_47429007|is-a
snomed.DTO:0001943|ogms.SCTO_71388002|is-a
snomed.DTO:0001944|ogms.SCTO_71388002|is-a
snomed.SCTO_430975009|snomed.SCTO_129300006|is-a
snomed.SCTO_129348007|snomed.SCTO_129347002|is-a
snomed.SCTO_257937003|snomed.SCTO_129347002|is-a
snomed.SCTO_360032005|snomed.SCTO_129347002|is-a
snomed.SCTO_129379006|snomed.SCTO_129371009|is-a
